CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x)))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x)))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.063723035156726837" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.035004992038011551" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.033036861568689346" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.034629236906766891" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.033013537526130676" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.028804939240217209" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.045842681080102921" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.04594339057803154" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.056223344057798386" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.025489214807748795" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.014001996256411076" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.013214744627475739" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.013851694762706757" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.013205415569245815" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.011521975509822369" 
